PatientID,DataSiloName,BirthDate,Sex_Status ,Neuter_Status ,VetCompassBreed_Cleaned,Bodyweight (kg),Bodyweight (kg) (excluding missing),Bodyweight (kg)_missing,Insurance status,Insurance status_01,Overweight/obese,Overweight/obese_exclude missing,Overweight/obese_missing,Date of CCL rupture diagnosis,Age at diagnosis (years),Management of CCL rupture,Surgical Method,Change in Assignment ,Management of CCL rupture_01,Orthopaedic comorbidity at diagnosis collapsed,Number of non-orthopaedic comorbidities at diagnosis_grouped,Date of surgery,Lameness_binary_3mo,Lameness_3mo_cens,Lameness_3mo_missing,Lameness_binary_12mo,Lameness_12mo_cens,Lameness_12mo_missing,Analgesia_at_3mo,Analgesia_at_3mo_cens,Analgesia_at_6mo,Analgesia_at_6mo_cens,Analgesia_at_12mo,Analgesia_at_12mo_cens,Subsequent contralateral CCL rupture,Date of subsequent rupture,Did the dog die,Date of death,Method of death,Date of final EPR,Date of final follow up,Follow_up_time
71797,B,02/07/2013 00:00,Female,Neutered,Labradoodle,20.8,20.8,0,Insured,1,Not recorded,,0,10/12/2019 00:00,6.44,Surgical,TTA,0,1,No recorded comorbidity ,0,10/12/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,10/12/2019 00:00,10/12/2019 00:00,0
28381,C,19/11/2011 00:00,Male,Entire,Crossbreed,15.5,15.5,0,NotInsured,0,Not recorded,,0,13/02/2019 00:00,7.24,Surgical,Lateral Suture,0,1,No recorded comorbidity ,0,13/02/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,13/02/2019 00:00,13/02/2019 00:00,0
91086,B,08/06/2011 00:00,Male,Neutered,Crossbreed,-100,,1,Insured,1,Not recorded,,0,26/02/2019 00:00,7.72,Surgical,TPLO,0,1,Osteoarthritis,0,26/02/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,26/02/2019 00:00,26/02/2019 00:00,0
65485,C,24/03/2008 00:00,Male,Neutered,Labrador Retriever,-100,,1,Insured,1,Not recorded,,0,14/02/2019 00:00,10.89,Surgical,TTA,0,1,No recorded comorbidity ,0,14/02/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,14/02/2019 00:00,14/02/2019 00:00,0
59410,B,04/04/2014 00:00,Male,Neutered,Crossbreed,9.88,9.88,0,NotInsured,0,Not recorded,,0,04/07/2019 00:00,5.25,Surgical,TPLO,0,1,No recorded comorbidity ,0,04/07/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,05/07/2019 00:00,05/07/2019 00:00,0
3353,B,14/01/2014 00:00,Male,Neutered,Staffordshire Bull Terrier,22.8,22.8,0,Insured,1,Not recorded,,0,26/02/2019 00:00,5.12,Surgical,TPLO,0,1,Osteoarthritis,0,26/02/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,01/03/2019 00:00,01/03/2019 00:00,0.1
37326,B,09/04/2018 00:00,Male,Entire,Cocker Spaniel,-100,,1,Insured,1,Not recorded,,0,22/11/2019 00:00,1.62,Surgical,Lateral suture,0,1,Osteoarthritis,0,22/11/2019 00:00,,1,1,,1,1,1,0,1,0,1,0,No,,No,,,26/11/2019 00:00,26/11/2019 00:00,0.1
48882,D,18/01/2014 00:00,Female,Entire,Crossbreed,-100,,1,NotInsured,0,Not recorded,,0,19/09/2019 00:00,5.67,Surgical,TPLO,0,1,No recorded comorbidity ,0,19/09/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,24/09/2019 00:00,24/09/2019 00:00,0.2
97032,E,14/03/2010 00:00,Female,Neutered,Staffordshire Bull Terrier,-100,,1,NotInsured,0,Overweight/obese,Overweight/obese,1,01/10/2019 00:00,9.55,Surgical,TPLO,0,1,No recorded comorbidity ,0,04/10/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,08/10/2019 00:00,08/10/2019 00:00,0.2
29926,D,10/09/2008 00:00,Female,Neutered,King Charles Spaniel,11.7,11.7,0,Insured,1,Not recorded,,0,30/07/2019 00:00,10.88,NonSurgical,,0,0,No recorded comorbidity ,1,,,1,1,,1,1,,1,,1,,1,No,,Yes,07/08/2019 00:00,Euthanasia,07/08/2019 00:00,07/08/2019 00:00,0.3
35024,C,06/03/2013 00:00,Female,Neutered,English Springer Spaniel,18.125,18.125,0,NotInsured,0,Not recorded,,0,06/09/2019 00:00,6.5,Surgical,TPLO,0,1,Osteoarthritis,0,10/09/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,18/09/2019 00:00,18/09/2019 00:00,0.4
86095,A,16/10/2014 00:00,Female,Entire,Crossbreed,8,8,0,NotInsured,0,Overweight/obese,Overweight/obese,1,07/02/2019 00:00,4.31,NonSurgical,,0,0,No recorded comorbidity ,0,,,1,1,,1,1,,1,,1,,1,No,,No,,,21/02/2019 00:00,21/02/2019 00:00,0.5
18363,A,19/12/2008 00:00,Female,Neutered,West Highland White Terrier,10.8,10.8,0,Insured,1,Not recorded,,0,09/01/2019 00:00,10.06,Surgical,TPLO,0,1,Osteoarthritis,0,09/01/2019 00:00,,1,1,,1,1,,1,,1,,1,No,,No,,,23/01/2019 00:00,23/01/2019 00:00,0.5
