PatientID,Veterinary_Group,BirthDate,Breed,Insurance_status,Date_of_neuter,Age_at_neuter_months,Neuter_Early,Neuter_Later_01,Comorbidity,Umbilical_hernia,Skin_disorder,Ear_disorder,Urogenital_disorder,Date of UI diagnosis,Age_at_UI,Time_Neuter_to_UI,UI_01,Final_EPR_Date,Follow_up_time_years,Time_interval,UI,Cens,Cens_wt
116,3,30/11/2011,Labrador Retriever,1,01/03/2012,3.03,Early,0,0,0,0,0,0,31/03/2017,5.3,1856,1,,5.1,1,0,0,0.914684462
116,3,30/11/2011,Labrador Retriever,1,01/03/2012,3.03,Early,0,0,0,0,0,0,31/03/2017,5.3,1856,1,,5.1,2,0,0,0.914684462
116,3,30/11/2011,Labrador Retriever,1,01/03/2012,3.03,Early,0,0,0,0,0,0,31/03/2017,5.3,1856,1,,5.1,3,1,,0.914684462
116,3,30/11/2011,Labrador Retriever,1,01/03/2012,3.03,Early,0,0,0,0,0,0,31/03/2017,5.3,1856,1,,5.1,4,,1,0.914684462
749,3,29/11/2012,Crossbreed,0,04/03/2013,3.13,Early,0,1,0,0,1,0,19/02/2014,1.2,352,1,,1,1,1,0,1
749,3,29/11/2012,Crossbreed,0,04/03/2013,3.13,Early,0,1,0,0,1,0,19/02/2014,1.2,352,1,,1,2,,1,1
749,3,29/11/2012,Crossbreed,0,04/03/2013,3.13,Early,0,1,0,0,1,0,19/02/2014,1.2,352,1,,1,3,,1,1
749,3,29/11/2012,Crossbreed,0,04/03/2013,3.13,Early,0,1,0,0,1,0,19/02/2014,1.2,352,1,,1,4,,1,1
622,3,11/08/2012,Bearded Collie,1,04/12/2012,3.78,Early,0,1,1,0,0,0,16/06/2017,4.9,1655,1,,4.6,1,0,0,0.901491016
622,3,11/08/2012,Bearded Collie,1,04/12/2012,3.78,Early,0,1,1,0,0,0,16/06/2017,4.9,1655,1,,4.6,2,0,0,0.901491016
622,3,11/08/2012,Bearded Collie,1,04/12/2012,3.78,Early,0,1,1,0,0,0,16/06/2017,4.9,1655,1,,4.6,3,1,,0.901491016
622,3,11/08/2012,Bearded Collie,1,04/12/2012,3.78,Early,0,1,1,0,0,0,16/06/2017,4.9,1655,1,,4.6,4,,1,0.901491016
955,2,28/12/2012,Purebreed - Other,1,03/05/2013,4.14,Early,0,0,0,0,0,0,02/07/2013,0.5,60,1,,0.3,1,1,0,1
955,2,28/12/2012,Purebreed - Other,1,03/05/2013,4.14,Early,0,0,0,0,0,0,02/07/2013,0.5,60,1,,0.3,2,,1,1
955,2,28/12/2012,Purebreed - Other,1,03/05/2013,4.14,Early,0,0,0,0,0,0,02/07/2013,0.5,60,1,,0.3,3,,1,1
955,2,28/12/2012,Purebreed - Other,1,03/05/2013,4.14,Early,0,0,0,0,0,0,02/07/2013,0.5,60,1,,0.3,4,,1,1
299,3,31/10/2011,German Shepherd Dog,0,05/03/2012,4.14,Early,0,0,0,0,0,0,18/05/2014,2.6,804,1,,2.3,1,0,0,1
299,3,31/10/2011,German Shepherd Dog,0,05/03/2012,4.14,Early,0,0,0,0,0,0,18/05/2014,2.6,804,1,,2.3,2,1,,1
299,3,31/10/2011,German Shepherd Dog,0,05/03/2012,4.14,Early,0,0,0,0,0,0,18/05/2014,2.6,804,1,,2.3,3,,1,1
299,3,31/10/2011,German Shepherd Dog,0,05/03/2012,4.14,Early,0,0,0,0,0,0,18/05/2014,2.6,804,1,,2.3,4,,1,1
343,3,12/03/2012,Crossbreed,1,16/07/2012,4.14,Early,0,0,0,0,0,0,20/11/2013,1.7,492,1,,1.4,1,1,0,1
343,3,12/03/2012,Crossbreed,1,16/07/2012,4.14,Early,0,0,0,0,0,0,20/11/2013,1.7,492,1,,1.4,2,,1,1
343,3,12/03/2012,Crossbreed,1,16/07/2012,4.14,Early,0,0,0,0,0,0,20/11/2013,1.7,492,1,,1.4,3,,1,1
343,3,12/03/2012,Crossbreed,1,16/07/2012,4.14,Early,0,0,0,0,0,0,20/11/2013,1.7,492,1,,1.4,4,,1,1
129,3,15/10/2011,Labradoodle,1,20/02/2012,4.21,Early,0,0,0,0,0,0,29/03/2012,0.5,38,1,,0.2,1,1,0,1
