id,DataSilo,BirthDate,VetCompassBreedOriginal,Insured,ChronicComorbidityBaseline,DateDiagnosis,AgeDiagnosis,PimoPresc,DatePimoPresc,TimeDiagnosisPimo,DiagnosticsBaseline,CHF_01_5max,DateOfCHF,Died_01_5max,compev,MethodOfDeath,DeathRelated,DateOfDeath,DateFinalEPR,FollowUp,LTFU
90970,0,21/07/2009 00:00,Cavalier King Charles Spaniel,0,1,23/02/2018 00:00,8.59,Prescribed,23/02/2018 00:00,1,0,0,,0,0,,,,10/03/2018 00:00,15,1
99439,2,23/12/2002 00:00,Jack Russell Terrier,0,1,06/01/2016 00:00,13.04,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Not related to cardiac disease,02/02/2016 00:00,,27,0
51568,0,28/02/2008 00:00,Spaniel,0,0,08/06/2017 00:00,9.28,NotPrescribed,,NA,0,0,,0,0,,,,06/07/2017 00:00,28,1
18526,0,17/09/2006 00:00,Bichon Frise,0,1,17/09/2016 00:00,10,NotPrescribed,,NA,0,0,,1,2,Unassisted,Not related to cardiac disease,15/10/2016 00:00,,28,0
87894,2,11/02/2006 00:00,Cavalier King Charles Spaniel,0,1,20/02/2016 00:00,10.02,NotPrescribed,,NA,0,0,,0,0,,,,22/03/2016 00:00,31,1
70738,0,05/05/2008 00:00,Crossbreed,0,1,02/03/2018 00:00,9.82,NotPrescribed,,NA,0,0,,0,0,,,,03/04/2018 00:00,32,1
20968,1,21/09/2006 00:00,Crossbreed,1,1,23/08/2017 00:00,10.92,NotPrescribed,26/09/2017 00:00,NA,0,1,26/09/2017 00:00,0,1,Unassisted,Primary reason for death,29/09/2022 00:00,,34,0
9915,0,02/01/2007 00:00,Yorkshire Terrier,0,0,09/04/2018 00:00,11.27,NotPrescribed,16/05/2018 00:00,NA,0,1,16/05/2018 00:00,0,1,,,,17/05/2018 00:00,37,0
26318,1,05/02/2009 00:00,Shih Tzu,0,1,27/07/2017 00:00,8.47,NotPrescribed,,NA,0,0,,0,0,,,,12/09/2017 00:00,47,1
50387,1,01/08/2006 00:00,Cavalier King Charles Spaniel,0,1,02/08/2016 00:00,10,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Not related to cardiac disease,20/09/2016 00:00,,49,0
28199,1,01/04/2004 00:00,Dachshund Standard,1,1,30/05/2017 00:00,13.16,NotPrescribed,20/07/2017 00:00,NA,0,1,20/07/2017 00:00,1,1,Euthanasia,Primary reason for death,01/01/2018 00:00,,51,0
54722,2,30/01/2002 00:00,Crossbreed,0,1,06/03/2018 00:00,16.1,NotPrescribed,,NA,0,0,,0,0,,,,28/04/2018 00:00,53,1
58538,2,25/06/2004 00:00,Crossbreed,0,0,28/04/2018 00:00,13.84,Prescribed,28/04/2018 00:00,1,0,0,,0,0,,,,22/06/2018 00:00,55,1
3148,0,26/04/2006 00:00,Cavalier King Charles Spaniel,0,1,07/06/2018 00:00,12.11,NotPrescribed,,NA,1,1,03/08/2018 00:00,1,1,Euthanasia,Primary reason for death,15/08/2018 00:00,,57,0
3853,0,14/01/2004 00:00,English Cocker Spaniel,0,1,03/03/2016 00:00,12.13,NotPrescribed,,NA,0,0,,0,0,,,,29/04/2016 00:00,57,1
22293,2,01/01/2002 00:00,Jack Russell Terrier,0,1,20/08/2016 00:00,14.63,NotPrescribed,,NA,0,0,,0,0,,,,16/10/2016 00:00,57,1
4104,1,20/09/2005 00:00,Shih Tzu,0,1,27/09/2018 00:00,13.02,NotPrescribed,,NA,0,1,24/11/2018 00:00,1,1,Euthanasia,Primary reason for death,24/11/2018 00:00,,58,0
8370,0,04/09/2009 00:00,Cavalier King Charles Spaniel,0,0,17/11/2016 00:00,7.2,NotPrescribed,15/01/2017 00:00,NA,0,1,15/01/2017 00:00,1,1,Euthanasia,Primary reason for death,01/04/2017 00:00,,59,0
51613,1,16/03/2007 00:00,Miniature Schnauzer,1,1,23/01/2018 00:00,10.86,NotPrescribed,,NA,1,0,,0,0,,,,23/03/2018 00:00,59,1
61993,1,01/04/2003 00:00,Yorkshire Terrier,0,1,25/08/2016 00:00,13.4,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Not related to cardiac disease,25/10/2016 00:00,,61,0
97444,1,15/02/2007 00:00,Miniature Schnauzer,1,1,12/03/2018 00:00,11.07,Prescribed,16/03/2018 00:00,4,1,0,,0,0,,,,14/05/2018 00:00,63,1
55099,0,15/03/2002 00:00,Crossbreed,0,1,31/07/2017 00:00,15.38,NotPrescribed,,NA,0,0,,0,0,,,,02/10/2017 00:00,63,1
82344,1,28/05/2012 00:00,Chihuahua,1,1,29/06/2018 00:00,6.09,Prescribed,29/06/2018 00:00,1,1,0,,0,0,,,,03/09/2018 00:00,66,1
72215,0,01/05/2009 00:00,Chihuahua,0,1,16/01/2017 00:00,7.71,Prescribed,01/02/2017 00:00,16,0,0,,1,2,Unassisted,Not recorded,23/03/2017 00:00,,66,0
94192,0,14/11/2001 00:00,English Cocker Spaniel,0,1,17/01/2016 00:00,14.17,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Not related to cardiac disease,26/03/2016 00:00,,69,0
22430,0,16/04/2001 00:00,Yorkshire Terrier,0,0,26/10/2016 00:00,15.53,NotPrescribed,,NA,0,1,05/01/2017 00:00,1,1,Euthanasia,Primary reason for death,05/01/2017 00:00,,71,0
19374,1,09/03/2006 00:00,Jack Russell Terrier,1,0,08/11/2018 00:00,12.67,NotPrescribed,18/01/2019 00:00,NA,0,1,18/01/2019 00:00,1,1,Euthanasia,Primary reason for death,27/06/2019 00:00,,71,0
25433,1,25/09/2002 00:00,Cavalier King Charles Spaniel,0,1,06/06/2016 00:00,13.7,NotPrescribed,,NA,0,0,,1,2,Euthanasia,Not related to cardiac disease,17/08/2016 00:00,,72,0
26718,1,21/09/2003 00:00,West Highland White Terrier,1,1,23/08/2017 00:00,13.92,Prescribed,24/08/2017 00:00,1,1,0,,1,2,Euthanasia,Not recorded,05/11/2017 00:00,,74,0
16960,1,08/12/2006 00:00,Crossbreed,0,1,28/11/2017 00:00,10.97,NotPrescribed,,NA,0,0,,0,0,,,,12/02/2018 00:00,76,1
75601,1,01/01/2008 00:00,Lhasa Apso,1,1,28/02/2018 00:00,10.16,NotPrescribed,,NA,0,1,16/05/2018 00:00,1,1,Euthanasia,Secondary reason for death,24/05/2018 00:00,,77,0
56989,1,07/12/2009 00:00,Cavalier King Charles Spaniel,0,1,27/09/2017 00:00,7.81,NotPrescribed,14/12/2017 00:00,NA,0,1,14/12/2017 00:00,1,1,Unassisted,Primary reason for death,09/03/2018 00:00,,78,0
60855,1,23/11/2006 00:00,Crossbreed,0,1,30/08/2017 00:00,10.77,NotPrescribed,16/11/2017 00:00,NA,1,1,16/11/2017 00:00,1,1,Euthanasia,Primary reason for death,27/11/2019 00:00,,78,0
27283,1,20/06/2003 00:00,Dachshund Miniature           ,0,1,26/07/2016 00:00,13.1,NotPrescribed,,NA,0,1,13/10/2016 00:00,0,1,,,,14/10/2016 00:00,79,0
